doc,class
product_type-shirt sleeve_style-sleeveless cut-ruffle cut-tank color-black color_group-dark,0
product_type-shirt fabric-woven fit-muscle style-classic cut-button,0
product_type-shirt cut-button cut-button_down sleeve_style-cold_shoulder style-bohemian style-fun color-pattern color_group-pattern fabric-jean,0
product_type-shirt sleeve_style-dolman cut-peplum color-pink color-orange color_group-pale color_group-warm_color color_group-bright color_group-dark fabric-delicate fabric-jean style-flattering fit-skinny length-long,0
product_type-shirt cut-keyhole cut-tank color-pattern color-black color_group-pattern color_group-dark,0
product_type-shirt color-pattern color-purple color-white color_group-pattern color_group-pale color_group-cool_color sleeve_style-cold_shoulder sleeve_style-short_sleeve style-romantic style-elegant fit-skinny fabric-jean,0
product_type-shirt color-pattern color-blue color_group-pattern color_group-bright color_group-dark color_group-cool_color neckline-high_neck cut-cut_out cut-cutout cut-tank fabric-slip fabric-jean fit-high_waist,0
product_type-shirt neckline-one_shoulder color-blue color-pattern color_group-bright color_group-dark color_group-cool_color color_group-pattern cut-ruffle cut-tie_waist fabric-jean length-short,0
product_type-shirt color-pink color-red color-pattern color_group-pale color_group-warm_color color_group-dark color_group-pattern sleeve_style-bell_sleeve style-boho neckline-v_neck,0
product_type-shirt color-pink color-pattern color-purple color-orange color_group-pale color_group-warm_color color_group-pattern color_group-cool_color color_group-bright neckline-off_shoulder cut-tie_waist fit-loose,0
product_type-shirt color-pattern color_group-pattern sleeve_style-short_sleeve neckline-round_neck,0
product_type-shirt fabric-denim color-pattern color-blue color_group-pattern color_group-bright color_group-cool_color cut-cuff cut-button neckline-collar_button,0
product_type-shirt neckline-deep_v neckline-v_neck neckline-halter sleeve_style-short_sleeve sleeve_style-cold_shoulder fabric-slip fabric-cotton cut-cutout fit-straight color-yellow color_group-dark color_group-warm_color,0
product_type-shirt neckline-deep_v neckline-v_neck neckline-halter sleeve_style-short_sleeve sleeve_style-cold_shoulder fabric-slip fabric-cotton cut-cutout fit-straight color-yellow color_group-dark color_group-warm_color,0
product_type-shirt neckline-deep_v neckline-v_neck neckline-halter sleeve_style-short_sleeve sleeve_style-cold_shoulder fabric-slip fabric-cotton cut-cutout fit-straight color-purple,0
product_type-shirt neckline-deep_v neckline-v_neck neckline-halter sleeve_style-short_sleeve sleeve_style-cold_shoulder fabric-slip fabric-cotton cut-cutout fit-straight color-purple color_group-cool_color,0
product_type-shirt fabric-velvet fabric-polyester fabric-spandex color-pattern color-brown color_group-pattern color_group-pale color_group-dark color_group-warm_color neckline-round_neck sleeve_style-elbow_length,0
product_type-shirt fabric-velvet fabric-polyester fabric-spandex color-pattern color-gray color_group-pattern neckline-round_neck sleeve_style-elbow_length,0
product_type-shirt fabric-velvet fabric-polyester fabric-spandex color-pattern color-brown color_group-pattern color_group-pale color_group-dark color_group-warm_color neckline-round_neck sleeve_style-elbow_length,0
product_type-shirt color-blue color-pattern color_group-bright color_group-cool_color color_group-pattern fabric-cotton cut-button_down neckline-collarless,0
product_type-shirt cut-peplum cut-peplum_hem neckline-collar_button fit-regular_fit color-blue,0
