,parent_type,product_type,gender,dress_codes,percentages,counts,total_count
54,pants,leggings,Female,"[""casual"",""active"",""business formal"",""beach"",""cocktail"",""festive"",""dressy casual"",""business casual""]","['18.08%', '63.0%', '15.92%', '0.26%', '0.05%', '0.05%', '2.63%', '0.02%']","[2405, 8379, 2118, 34, 6, 6, 350, 2]",13300
55,jeans,jeans,Male,"[""beach"",""casual"",""dressy casual"",""active""]","['0.21%', '70.16%', '27.65%', '1.98%']","[5, 1667, 657, 47]",2376
56,pants,trousers,Female,"[""festive"",""beach"",""business casual"",""cocktail"",""active"",""business formal"",""dressy casual"",""creative black tie"",""casual"",""black tie""]","['0.06%', '0.32%', '0.22%', '3.19%', '8.87%', '29.18%', '23.87%', '0.32%', '33.94%', '0.03%']","[2, 10, 7, 101, 281, 924, 756, 10, 1075, 1]",3167
57,shirt,cami top,Female,"[""cocktail"",""business formal"",""beach"",""active"",""casual"",""dressy casual""]","['10.17%', '0.48%', '1.45%', '2.66%', '60.05%', '25.18%']","[42, 2, 6, 11, 248, 104]",413
58,shirt,oxford shirt,Male,"[""active"",""dressy casual"",""casual""]","['0.22%', '24.84%', '74.95%']","[1, 113, 341]",455
59,top,bralet,Female,"[""dressy casual"",""beach"",""cocktail"",""casual"",""active""]","['9.6%', '6.09%', '2.34%', '1.64%', '80.33%']","[41, 26, 10, 7, 343]",427
60,trousers,pleated trousers,Male,"[""dressy casual""]",['100.0%'],[14],14
61,shorts,chino short,Male,"[""casual"",""white tie"",""beach"",""dressy casual""]","['41.43%', '2.86%', '52.86%', '2.86%']","[29, 2, 37, 2]",70
62,pants,joggers,Unisex,"[""casual""]",['100.0%'],[62],62
63,trousers,cargo trousers,Male,"[""dressy casual"",""active"",""casual""]","['8.16%', '8.16%', '83.67%']","[4, 4, 41]",49
64,shirt,shirt,Unisex,"[""casual"",""business formal""]","['22.54%', '77.46%']","[16, 55]",71
65,shorts,shorts,Female,"[""beach"",""dressy casual"",""business formal"",""active"",""cocktail"",""casual""]","['0.28%', '3.6%', '13.49%', '18.88%', '3.6%', '60.17%']","[4, 52, 195, 273, 52, 870]",1446
66,jumpsuit,jumpsuit,Female,"[""beach"",""cocktail"",""business formal"",""casual"",""active"",""dressy casual""]","['0.74%', '2.85%', '6.63%', '86.66%', '0.37%', '2.74%']","[20, 77, 179, 2339, 10, 74]",2699
67,top,button-down top,Male,"[""dressy casual"",""casual""]","['12.77%', '87.23%']","[24, 164]",188
68,pants,suit trousers,Male,"[""black tie"",""white tie"",""dressy casual"",""casual"",""business formal"",""business casual"",""creative black tie""]","['0.46%', '0.69%', '48.51%', '12.7%', '34.44%', '0.46%', '2.75%']","[4, 6, 424, 111, 301, 4, 24]",874
